x,y,z,q,,act_x,act_y,dist
5105,1858,76,68,,5.222,1.926,0.135325533436968
5108,1860,90,71,,,,0.131726990400602
5102,1862,96,70,,,,0.136
5101,1872,105,71,,,,0.132502830158454
5102,1869,88,69,,,,0.132849538952907
5110,1859,60,67,,,,0.130510535973154
5112,1868,72,70,,,,0.124354332453679
5103,1863,102,72,,,,0.1346476884317
5104,1870,123,72,,,,0.130613934938046
5103,1867,92,68,,,,0.132823190746195
5104,1865,91,70,,,,0.132834483474737
5106,1870,71,68,,,,0.128809937504837
5095,1875,84,71,,,,0.136857590216985
5105,1862,61,67,,,,0.133360413916574
5103,1867,60,69,,,,0.132823190746195
5104,1866,59,69,,,,0.132378245946984
5111,1866,67,70,,,,0.126178445068879
5109,1880,55,69,,,,0.12200409829182
5124,1898,72,77,,,,0.101921538449928
5134,1900,60,68,,,,0.091760557975636
5131,1892,48,68,,,,0.097144222679478
5130,1891,63,70,,,,0.098432718137823
5133,1886,72,70,,,,0.097575611707025
5122,1873,62,68,,,,0.11317685275709
5142,1871,37,68,,,,0.097082439194738
5133,1875,77,72,,,,0.102576800496019
5128,1877,104,72,,,,0.106004716876185
5119,1873,84,68,,,,0.115836091094271
5120,1864,79,69,,,,0.119364986491014
5122,1853,62,67,,,,0.123810338825157
5120,1854,68,70,,,,0.124851912280109
5126,1858,59,68,,,,0.117643529358822
5127,1856,55,68,,,,0.11800423721206
5119,1860,78,71,,,,0.12233151678942
5116,1854,77,69,,,,0.128140547837131
5122,1852,56,67,,,,0.124402572320672
5123,1840,50,68,,,,0.131137332594498
5110,1836,59,69,,,,0.143680200445295
5113,1849,52,69,,,,0.133454111963626
5127,1854,52,69,,,,0.11920151005755
5105,1863,84,72,,,,0.132883407542101
5112,1868,93,70,,,,0.124354332453679
5110,1863,70,68,,,,0.128502918254801
5116,1867,70,69,,,,0.121313643090957
5121,1867,81,70,,,,0.116970081644838
5127,1850,45,66,,,,0.121659360511225
5127,1853,66,70,,,,0.119808180021233
5113,1859,80,71,,,,0.127945300812496
5113,1864,111,72,,,,0.125399362039845
5114,1862,100,69,,,,0.125538838611802
5119,1857,80,68,,,,0.12397580409096
5121,1854,78,69,,,,0.124036285013701
5123,1850,81,69,,,,0.124807852317072
5125,1854,77,69,,,,0.120801490057036
5123,1867,84,70,,,,0.115247559627092
5111,1876,92,71,,,,0.121741529479468
5106,1882,86,70,,,,0.124064499354167
5110,1866,86,69,,,,0.127059041394149
5115,1860,83,69,,,,0.125717938258627
5119,1864,77,69,,,,0.120220630509078
5127,1851,54,67,,,,0.121037184369103
5134,1851,51,68,,,,0.115624391890293
5128,1843,66,70,,,,0.125399362039845
5130,1842,45,67,,,,0.12457929201918
5133,1843,56,69,,,,0.121696343412611
5137,1835,34,66,,,,0.124523090228279
5133,1846,28,68,,,,0.119670380629461
5133,1833,27,67,,,,0.128724512040249
5127,1837,64,71,,,,0.130176802849049
5131,1849,51,68,,,,0.119205704561485
5124,1848,75,71,,,,0.12525174649481
5124,1849,75,69,,,,0.124631456703355
5122,1837,67,68,,,,0.13386933928275
5119,1836,58,68,,,,0.136780846612383
5122,1838,55,68,,,,0.133206606442774
5116,1845,58,69,,,,0.133405397192168
5114,1848,44,68,,,,0.133221619867048
5115,1846,49,69,,,,0.133600149700515
5112,1841,51,69,,,,0.139014387744579
5110,1842,58,69,,,,0.14
5118,1830,39,66,,,,0.141534448103633
5119,1830,38,68,,,,0.140801278403288
5114,1837,57,70,,,,0.13994641831787
5114,1835,65,69,,,,0.141226768000971
5119,1833,54,68,,,,0.138773196259221
5127,1836,34,67,,,,0.130862523283025
5113,1848,58,71,,,,0.134033577882559
5113,1847,65,69,,,,0.134617977996997
5121,1852,63,69,,,,0.125207827231368
5141,1844,28,65,,,,0.115260574352205
5131,1860,53,71,,,,0.112414411887445
5134,1861,58,69,,,,0.109402925006601
5125,1867,57,69,,,,0.11353413583588
5125,1870,69,70,,,,0.112004464196746
5125,1858,62,68,,,,0.118460964034572
5118,1854,35,67,,,,0.126491106406735
5114,1847,44,69,,,,0.133809566175218
5108,1857,59,70,,,,0.133255393887078
5109,1855,66,69,,,,0.133454111963626
5118,1846,50,67,,,,0.131209755734854
5120,1869,71,71,,,,0.116846052564903
5120,1862,64,68,,,,0.120415945787923
5111,1864,82,71,,,,0.127141653284831
5118,1863,82,69,,,,0.121593585357123
5113,1868,80,70,,,,0.12347064428438
5112,1879,111,72,,,,0.119620232402383
5121,1863,79,67,,,,0.119037809119624
5114,1865,90,71,,,,0.124036285013701
5117,1857,65,67,,,,0.125642349548232
5117,1856,59,69,,,,0.12619429464124
5117,1856,59,69,,,,0.12619429464124
5110,1855,56,69,,,,0.132608446186508
5112,1863,62,70,,,,0.126763559432512
5106,1846,67,69,,,,0.140911319630469
5111,1832,51,67,,,,0.145454460227248
5108,1831,88,71,,,,0.148394743842227
5111,1849,79,69,,,,0.135092560861064
5111,1848,79,69,,,,0.135665028655141
5120,1849,60,68,,,,0.127800625976558
5119,1852,65,69,,,,0.126826653350154
5124,1850,52,68,,,,0.124016127983421
5126,1862,55,69,,,,0.115377640814848
5127,1853,53,68,,,,0.119808180021233
