x,y,z,q,,act_x,act_y,dist,forward,lateral
7027,3864,443,41,,7.245,3.913,0.223439029715043,-0.218,-0.049
7051,3863,426,42,,,,0.200339711490258,-0.194,-0.05
7083,3860,406,46,,,,0.170449405983125,-0.162,-0.053
7061,3870,430,45,,,,0.188957667216761,-0.184,-0.043
7043,3867,447,46,,,,0.207171426601257,-0.202,-0.046
7111,3873,373,35,,,,0.139842768851307,-0.134,-0.04
7090,3868,382,44,,,,0.16140012391569,-0.155,-0.045
7070,3856,407,46,,,,0.184048906543886,-0.175,-0.057
7042,3855,451,47,,,,0.211123186789135,-0.203,-0.058
7029,3861,467,46,,,,0.222171105231981,-0.216,-0.052
7095,3875,391,35,,,,0.154738489071078,-0.15,-0.038
7089,3887,394,42,,,,0.158151825787753,-0.156,-0.026
7139,3888,341,36,,,,0.108908218239029,-0.106,-0.025
7093,3881,363,46,,,,0.155331902711581,-0.152,-0.032000000000001
7126,3875,316,37,,,,0.124919974383603,-0.119,-0.038
7118,3876,331,42,,,,0.132280006047777,-0.127,-0.037
7156,3892,287,35,,,,0.091443971917235,-0.089,-0.021
7112,3893,327,45,,,,0.134495353079577,-0.133,-0.020000000000001
7161,3894,293,35,,,,0.086122006479181,-0.084000000000001,-0.019
7130,3900,316,43,,,,0.115732450073435,-0.115,-0.013
7126,3903,319,41,,,,0.119419428905015,-0.119,-0.01
7099,3899,356,44,,,,0.146669696938393,-0.146,-0.014
7069,3889,394,46,,,,0.177628826489396,-0.176,-0.024000000000001
7057,3887,401,44,,,,0.189789356919717,-0.188,-0.026
7060,3883,377,42,,,,0.187416648139914,-0.185000000000001,-0.03
7046,3876,385,44,,,,0.202410474037289,-0.199,-0.037
7031,3887,405,44,,,,0.215573653306707,-0.214,-0.026
7022,3877,433,46,,,,0.22588713996153,-0.223,-0.036000000000001
7089,3864,348,35,,,,0.163514525348667,-0.156,-0.049
7054,3869,392,46,,,,0.196002551003807,-0.191,-0.044
7027,3868,400,45,,,,0.22259604668547,-0.218,-0.045
7056,3875,400,41,,,,0.192782260594693,-0.189,-0.038
7067,3886,379,41,,,,0.180036107489581,-0.178,-0.027
7042,3889,414,46,,,,0.204413796011913,-0.203,-0.024000000000001
7108,3885,335,35,,,,0.139832042107666,-0.137,-0.028000000000001
7152,3888,296,36,,,,0.096301609540028,-0.093,-0.025
7106,3880,359,47,,,,0.142863571283935,-0.139,-0.033
7074,3885,395,45,,,,0.173277234511635,-0.171,-0.028000000000001
7058,3867,406,45,,,,0.192574660846125,-0.187,-0.046
7039,3854,425,46,,,,0.214282523785773,-0.206,-0.059
7088,3840,352,37,,,,0.173141560579776,-0.157,-0.073
7069,3847,359,44,,,,0.187968082396986,-0.176,-0.066
7023,3851,396,48,,,,0.230495119254183,-0.222,-0.062
7045,3851,378,41,,,,0.209389589043964,-0.2,-0.062
7098,3851,317,36,,,,0.159539963645477,-0.147,-0.062
7063,3854,377,47,,,,0.191324331960156,-0.182,-0.059
7082,3861,383,42,,,,0.17109354166654,-0.163,-0.052
7054,3860,432,47,,,,0.198217052747739,-0.191,-0.053
7041,3866,439,45,,,,0.209344214154583,-0.204,-0.047
7063,3872,419,41,,,,0.186560981987124,-0.182,-0.041
7023,3860,468,49,,,,0.22823890991678,-0.222,-0.053
7083,3857,398,37,,,,0.171405950888527,-0.162,-0.056
7135,3862,333,35,,,,0.121247680390183,-0.11,-0.051
7097,3876,371,45,,,,0.152554908147853,-0.148,-0.037
7064,3870,396,46,,,,0.186037630601983,-0.181,-0.043
7037,3874,429,46,,,,0.211624667749296,-0.208,-0.039
7036,3857,422,45,,,,0.21637236422427,-0.209000000000001,-0.056
7020,3868,426,45,,,,0.229455878111676,-0.225000000000001,-0.045
7017,3875,430,44,,,,0.231144976151332,-0.228,-0.038
7017,3874,439,45,,,,0.231311478314415,-0.228,-0.039
7079,3862,394,38,,,,0.173657709301949,-0.166,-0.051
7061,3861,394,44,,,,0.191206694443474,-0.184,-0.052
7046,3870,403,44,,,,0.203592730715023,-0.199,-0.043
7030,3875,424,45,,,,0.218332315519256,-0.215,-0.038
7020,3868,442,46,,,,0.229455878111676,-0.225000000000001,-0.045
7004,3871,467,47,,,,0.244632377252072,-0.241000000000001,-0.042
7009,3863,444,44,,,,0.241238471227124,-0.236,-0.05
6997,3860,445,46,,,,0.253600078864341,-0.248,-0.053
7009,3856,419,43,,,,0.242785913924181,-0.236,-0.057
6997,3861,428,45,,,,0.25339297543539,-0.248,-0.052
6982,3853,441,47,,,,0.269757298325736,-0.263,-0.06
7036,3850,370,38,,,,0.218288799529431,-0.209000000000001,-0.063
7008,3859,397,46,,,,0.243074062787456,-0.237,-0.054
7002,3848,416,46,,,,0.251543236840111,-0.243,-0.065
6998,3846,424,45,,,,0.255925770488241,-0.247,-0.067
7003,3860,430,44,,,,0.247735746310459,-0.242,-0.053
6999,3854,444,46,,,,0.252976283473373,-0.246,-0.059
7011,3856,446,44,,,,0.240842272037116,-0.234,-0.057
7000,3859,444,45,,,,0.250880449616944,-0.245,-0.054
6995,3857,475,47,,,,0.256195238050983,-0.25,-0.056
6982,3859,483,47,,,,0.268486498729452,-0.263,-0.054
6994,3853,449,43,,,,0.258071695464652,-0.251,-0.06
6995,3854,456,45,,,,0.256867670211726,-0.25,-0.059
6990,3856,456,46,,,,0.261292939055,-0.255,-0.057
6978,3838,482,48,,,,0.27733373397407,-0.267,-0.075
6990,3846,451,43,,,,0.263655077705702,-0.255,-0.067
7060,3839,387,37,,,,0.199251097863977,-0.185000000000001,-0.074
7102,3838,342,38,,,,0.161474456184252,-0.143,-0.075
7068,3844,400,47,,,,0.189973682387851,-0.177000000000001,-0.069
7077,3855,388,41,,,,0.177730132504311,-0.168,-0.058
7045,3867,416,46,,,,0.205221831197366,-0.2,-0.046
7054,3862,400,42,,,,0.197691679136983,-0.191,-0.051
