x,y,z,q,,act_x,act_y,dist
5171,1781,144,69,,5.143,1.947,0.168344884092152
5167,1797,156,71,,,,0.151907866814066
5173,1787,141,68,,,,0.162788205960997
5169,1790,147,70,,,,0.159138304628395
5166,1787,174,72,,,,0.161644672043343
5171,1787,172,70,,,,0.162431524033976
5171,1791,159,69,,,,0.158492902049272
5177,1775,129,66,,,,0.175328263551545
5169,1786,125,69,,,,0.163085866953578
5182,1789,119,68,,,,0.162742127305747
5190,1790,111,70,,,,0.163884105391585
5188,1773,96,67,,,,0.179724789609002
5177,1782,139,72,,,,0.168466613903171
5182,1767,127,67,,,,0.18417654573805
5183,1779,132,70,,,,0.172696265159383
5183,1765,101,66,,,,0.186343768342277
5175,1770,128,71,,,,0.179869397063536
5177,1780,121,69,,,,0.17042593699317
5169,1777,120,69,,,,0.171976742613645
5169,1768,113,68,,,,0.180878412200019
5164,1782,116,70,,,,0.166330995307549
5176,1791,107,68,,,,0.15945218719102
5179,1791,90,67,,,,0.160099968769516
5178,1787,104,69,,,,0.163783393541592
5173,1780,113,69,,,,0.169673215328761
5181,1775,103,67,,,,0.176147665326566
5172,1776,111,69,,,,0.173441632833642
5171,1782,123,70,,,,0.167358895789856
5170,1788,121,69,,,,0.161276160668587
5171,1779,116,68,,,,0.17031735084835
5178,1780,121,69,,,,0.170628250884782
5180,1777,105,67,,,,0.173979883894662
5167,1785,111,70,,,,0.163768128767474
5165,1778,117,69,,,,0.17042593699317
5177,1778,97,67,,,,0.172386194342819
5177,1775,103,69,,,,0.175328263551545
5163,1769,108,69,,,,0.179120071460459
5174,1768,98,67,,,,0.181664525981271
5175,1776,94,68,,,,0.173968387932981
5173,1765,89,67,,,,0.184455956802701
5168,1784,110,71,,,,0.164906033849584
5176,1777,96,67,,,,0.173173323580741
5166,1772,154,73,,,,0.176504957437461
5158,1766,149,69,,,,0.181620483426292
5165,1759,128,67,,,,0.189282857121294
5170,1757,121,68,,,,0.191908832522112
