x,y,expected_x,expected_y,min,max,Bins,velocity,initial_x,initial_y,act_dist,forward,lateral
4.001,2.791,3.991,2.833,,,,0.9 m/s,1.991,2.833,2.01043875808242,0.01,-0.042
3.98,2.776,,,,,,,,,1.98981657446107,-0.011,-0.057
3.941,2.788,,,,,,,,,1.95051916165927,-0.05,-0.045
3.998,2.776,,,,,,,,,2.00780925388843,0.007,-0.057
4.056,2.783,,,,,,,,,2.06560523818081,0.065,-0.05
3.996,2.803,,,,,,,,,2.00522442634235,0.005,-0.03
3.926,2.797,,,,,,,,,1.93533485474736,-0.065,-0.036
4.055,2.779,,,,,,,,,2.06470627450977,0.064,-0.054
3.984,2.769,,,,,,,,,1.99402733180867,-0.007,-0.064
4.018,2.78,,,,,,,,,2.02769277751833,0.027,-0.053
3.924,2.797,,,,,,,,,1.93333520114852,-0.067,-0.036
3.983,2.791,,,,,,,,,1.99244272188688,-0.008,-0.042
3.983,2.765,,,,,,,,,1.99316030464185,-0.008,-0.068
3.982,2.798,,,,,,,,,1.99130761059159,-0.009,-0.035
3.982,2.788,,,,,,,,,1.9915084734944,-0.009,-0.045
3.966,2.782,,,,,,,,,1.97565837127779,-0.025,-0.051
3.944,2.805,,,,,,,,,1.95320070653274,-0.047,-0.028
3.964,2.78,,,,,,,,,1.97371173173795,-0.027,-0.053
4.017,2.786,,,,,,,,,2.02654508955513,0.026,-0.047
4.036,2.791,,,,,,,,,2.0454312503724,0.045,-0.042
3.983,2.801,,,,,,,,,1.9922570115324,-0.008,-0.032
3.982,2.789,,,,,,,,,1.99148612849801,-0.009,-0.044
3.945,2.787,,,,,,,,,1.95454137843127,-0.046,-0.046
3.982,2.777,,,,,,,,,1.99178738825207,-0.009,-0.056
3.948,2.788,,,,,,,,,1.95751730515978,-0.043,-0.045
