x,y,expected_x,expected_y,min,max,Bins,velocity,initial_x,initial_y,act_dist
3.994,2.796,,,,,,1.1 m/s,1.991,2.833,2.0033417082465
3.954,2.79,,,,,,,,,1.96347090632889
3.927,2.78,,,,,,,,,1.93672532900254
3.975,2.787,,,,,,,,,1.98453319448177
3.951,2.781,,,,,,,,,1.96068967457882
3.973,2.793,,,,,,,,,1.98240359160288
3.975,2.792,,,,,,,,,1.9844235938932
3.975,2.775,,,,,,,,,1.98484760120267
3.932,2.809,,,,,,,,,1.94114837145438
3.973,2.791,,,,,,,,,1.98244495509964
3.975,2.794,,,,,,,,,1.98438327951029
4.044,2.774,,,,,,,,,2.05384760875777
4.04,2.79,,,,,,,,,2.04945114603886
3.996,2.787,,,,,,,,,2.00552761137811
3.952,2.786,,,,,,,,,1.96156315218246
3.953,2.797,,,,,,,,,1.96233024743543
3.952,2.787,,,,,,,,,1.96153944645526
3.885,2.795,,,,,,,,,1.89438116544691
4.018,2.787,,,,,,,,,2.02752188644167
3.929,2.779,,,,,,,,,1.93875217601425
3.907,2.806,,,,,,,,,1.91619023063995
3.991,2.817,,,,,,,,,2.00006399897603
3.951,2.786,,,,,,,,,1.96056343942245
4.019,2.799,,,,,,,,,2.02828498983747
3.997,2.807,,,,,,,,,2.00616848744067
