time,imu/ax,imu/ay,imu/awz,encoder/vx,encoder/vy,encoder/wz,uwb/x,uwb/y,accel/ax,accel/ay,accel/awz,accel/var_ax,accel/var_ay,accel/var_awz,odom/vx,odom/vy,odom/wz,odom/var_vx,odom/var_vy,odom/var_wz,cmd/vx,cmd/vy,cmd/wz
1626279007385470152,-0.005859375,0.0146484375,1.34146344662,5.06347987539e-06,0.0,-4.71021412523e-05,,,-7.40577246525e-13,3.07587344626e-09,0.0,0.0271577717809,0.0271577717809,0.0,6.77574792344e-13,-4.6344487601e-09,0.00186917065935,0.0633055069599,0.0633055069599,0.00356141131238,,,
1626279007459470034,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.6,4.91,-6.20989524027e-13,3.19793496505e-09,0.0,0.0272977444219,0.0272977444219,0.0,6.11019178519e-13,-4.07351898172e-09,0.00165572775025,0.0643403726874,0.0643403726874,0.00305093317714,,,
1626279007505470037,-0.005859375,0.00341796875,1.40243899822,4.82236237076e-06,0.0,-4.48591817985e-05,,,-6.17145420125e-13,3.30668001182e-09,0.0,0.0271576925663,0.0271576925663,0.0,5.66541103491e-13,-3.63032586734e-09,0.00157538764047,0.0633166695502,0.0633166695502,0.00396471030874,,,
1626279007565469980,,,,5.32997910341e-06,0.0,-4.95812018926e-05,5.6,4.9,-5.4068840118e-13,3.40283574038e-09,0.0,0.0271576633815,0.0271576633815,0.0,5.16824904521e-13,-3.17035212733e-09,0.00155993422842,0.0633205666903,0.0633205666903,0.003354423125,,,
1626279007625470161,,,,,,,,,-5.23430420188e-13,3.48711487648e-09,0.0,0.0271576791813,0.0271576791813,0.0,4.68161608313e-13,-2.73708462963e-09,0.00146201149397,0.0633311181047,0.0633311181047,0.00454643474564,,,
1626279007685470104,-0.01708984375,0.01123046875,1.40243899822,4.82236237076e-06,0.0,-4.48591817985e-05,5.6,4.91,-4.57070497121e-13,3.56020301181e-09,0.0,0.0271577182183,0.0271577182183,0.0,4.27585617981e-13,-2.32869903351e-09,0.00168418748413,0.0633202281525,0.0633202281525,0.0037806942912,,,
1626279007685470104,-0.0068359375,0.00732421875,1.2804877758,5.06347987539e-06,0.0,-4.71021412523e-05,,,-4.57070497121e-13,3.56020301181e-09,0.0,0.0271577182183,0.0271577182183,0.0,4.27585617981e-13,-2.32869903351e-09,0.00168418748413,0.0633202281525,0.0633202281525,0.0037806942912,,,
1626279007771470070,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.61,4.91,-3.86288753209e-13,3.62274563283e-09,0.0,0.0274177680853,0.0274177680853,0.0,3.78358923038e-13,-1.85076248619e-09,0.00174930980163,0.0652263112899,0.0652263112899,0.00346871861896,,,
1626279007805469990,,,,5.06347987539e-06,0.0,-4.71021412523e-05,,,-3.83374583647e-13,3.67536786306e-09,0.0,0.0271578473075,0.0271578473075,0.0,3.51966436421e-13,-1.58409977435e-09,0.00168509296338,0.0633081007291,0.0633081007291,0.00414113483801,,,
1626279007875470161,-0.005859375,0.00341796875,1.40243899822,5.06347987539e-06,0.0,-4.71021412523e-05,5.62,4.93,-3.16176501173e-13,3.71866405877e-09,0.0,0.0272579525309,0.0272579525309,0.0,3.1527340798e-13,-1.20858921096e-09,0.00182589305139,0.0640382226381,0.0640382226381,0.00348398152495,,,
1626279007925470114,-0.001953125,-0.005859375,1.2804877758,,,,,,-3.20094676299e-13,3.75320861271e-09,0.0,0.0271580797116,0.0271580797116,0.0,2.86514902915e-13,-9.28588173155e-10,0.00172943762265,0.063306937799,0.063306937799,0.00447549069309,,,
1626279007985470057,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.61,4.92,-2.82520946511e-13,3.77954765817e-09,0.0,0.0271582018743,0.0271582018743,0.0,2.58627680046e-13,-6.31553320307e-10,0.00185971961438,0.0632879898261,0.0632879898261,0.00361019631239,,,
1626279007985470057,-0.001953125,0.0048828125,1.34146344662,5.06347987539e-06,0.0,-4.71021412523e-05,,,-2.82520946511e-13,3.77954765817e-09,0.0,0.0271582018743,0.0271582018743,0.0,2.58627680046e-13,-6.31553320307e-10,0.00185971961438,0.0632879898261,0.0632879898261,0.00361019631239,,,
1626279008070710182,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.6,4.91,-2.26835520316e-13,3.79939321508e-09,0.0,0.0273504055317,0.0273504055317,0.0,2.24380547239e-13,-2.55038743233e-10,0.00201638054646,0.0647094024268,0.0647094024268,0.00346721525328,,,
1626279008112709999,,,,5.06347987539e-06,0.0,-4.71021412523e-05,,,-2.29013006549e-13,3.81043799269e-09,0.0,0.0271598988912,0.0271598988912,0.0,2.02402398288e-13,-6.53578861765e-11,0.00192614545096,0.0633072553301,0.0633072553301,0.00429934014529,,,
1626279008174710035,-0.013671875,0.00537109375,1.34146344662,4.82236237076e-06,0.0,-4.48591817985e-05,5.6,4.91,-1.77787305816e-13,3.81453786189e-09,0.0,0.0271785729368,0.0271785729368,0.0,1.77491332201e-13,1.82050478633e-10,0.00181525263849,0.0634469197776,0.0634469197776,0.00348296769691,,,
1626279008232710123,-0.0166015625,0.00048828125,1.40243899822,,,,,,-1.82161996191e-13,3.8123574137e-09,0.0,0.0271587408552,0.0271587408552,0.0,1.54525927104e-13,3.97365260399e-10,0.00170470020294,0.0633110820965,0.0633110820965,0.0046342533364,,,
1626279008292710066,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.59,4.89,-1.52538989766e-13,3.80436792763e-09,0.0,0.0271589925102,0.0271589925102,0.0,1.32881914019e-13,6.04345137996e-10,0.00178976776889,0.0633054912832,0.0633054912832,0.00376774137159,,,
1626279008292710066,,,,5.06347987539e-06,0.0,-4.71021412523e-05,,,-1.52538989766e-13,3.80436792763e-09,0.0,0.0271589925102,0.0271589925102,0.0,1.32881914019e-13,6.04345137996e-10,0.00178976776889,0.0633054912832,0.0633054912832,0.00376774137159,,,
1626279008382710218,-0.01318359375,0.00927734375,1.2804877758,5.06347987539e-06,0.0,-4.71021412523e-05,5.59,4.9,-1.12189149763e-13,3.79099213833e-09,0.0,0.0274591451673,0.0274591451673,0.0,1.09352380164e-13,9.0996304694e-10,0.00196793119409,0.06551093446,0.06551093446,0.00349535422344,,,
1626279008412710190,-0.0224609375,0.00244140625,1.40243899822,5.06347987539e-06,0.0,-4.71021412523e-05,,,-1.1396813752e-13,3.77262533069e-09,0.0,0.0271592345505,0.0271592345505,0.0,9.34742830302e-14,9.73619595266e-10,0.00190361877296,0.0632986521668,0.0632986521668,0.00408784938987,,,
1626279008472710133,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.6,4.9,-9.31426726496e-14,3.74964253066e-09,0.0,0.0271592913183,0.0271592913183,0.0,7.52148302567e-14,1.13738578587e-09,0.00185555474563,0.0632931660666,0.0632931660666,0.00321573506379,,,
1626279008532710075,-0.01123046875,0.0029296875,1.34146344662,,,,,,-7.96872729302e-14,3.72239701655e-09,0.0,0.0271593534709,0.0271593534709,0.0,5.84684293798e-14,1.28828414223e-09,0.00173927126968,0.0633019706722,0.0633019706722,0.00440824830677,,,
1626279008592710018,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.59,4.91,-6.07420345386e-14,3.69122122493e-09,0.0,0.0271594022527,0.0271594022527,0.0,4.26798451481e-14,1.42666625085e-09,0.00176156409996,0.0632902127824,0.0632902127824,0.00377119909747,,,
1626279008592710018,-0.01171875,0.01171875,1.2804877758,5.06347987539e-06,0.0,-4.71021412523e-05,,,-6.07420345386e-14,3.69122122493e-09,0.0,0.0271594022527,0.0271594022527,0.0,4.26798451481e-14,1.42666625085e-09,0.00176156409996,0.0632902127824,0.0632902127824,0.00377119909747,,,
1626279008674710035,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.6,4.92,-2.81759714326e-14,3.65643466361e-09,0.0,0.0273794190729,0.0273794190729,0.0,2.75063353765e-14,1.63397400454e-09,0.00166033688416,0.0649033952686,0.0649033952686,0.00343282480844,,,
1626279008712710142,-0.01318359375,0.00390625,1.2804877758,5.06347987539e-06,0.0,-4.71021412523e-05,,,-3.16985580239e-14,3.61833795344e-09,0.0,0.0271594255933,0.0271594255933,0.0,1.49613972959e-14,1.66909401753e-09,0.00159262982236,0.0632846135426,0.0632846135426,0.00418523021349,,,
1626279008778710127,,,,4.82236237076e-06,0.0,-4.48591817985e-05,5.63,4.96,-3.50635715596e-15,3.57721897114e-09,0.0,0.0272194232691,0.0272194232691,0.0,2.92745223275e-15,1.79583410777e-09,0.00175373062032,0.0637270346242,0.0637270346242,0.0034696147856,,,
