x,y,z,q
8575,1328,1049,67
8481,1144,910,58
8515,1217,1065,68
8539,1270,1042,67
8557,1295,913,65
8438,1093,809,58
8487,1167,835,67
8448,1089,933,67
8492,1155,1096,67
8525,1213,961,66
8546,1270,940,67
8562,1304,1024,67
8571,1318,1034,67
8589,1356,1048,68
8466,1141,959,58
8506,1215,1006,68
8535,1255,1033,67
8427,1058,915,58
8477,1141,933,67
8502,1212,959,67
8532,1253,944,67
8557,1284,1002,67
8566,1329,1149,68
8591,1349,1108,67
8600,1338,1123,66
8609,1348,1116,67
8612,1360,1245,68
8611,1349,1182,66
8611,1350,1026,65
8481,1162,902,58
8388,982,810,59
8454,1099,952,68
8367,942,913,58
8432,1049,1017,67
8349,909,885,58
8419,1043,1040,68
8465,1132,1121,67
8508,1200,1127,67
8536,1250,1178,67
8553,1275,1195,67
8566,1269,1229,66
8459,1074,1080,58
8494,1173,1183,68
8529,1235,1044,66
8419,1041,937,59
8360,948,830,57
8428,1056,910,67
8346,921,811,58
8424,1039,741,66
8485,1129,906,68
8520,1188,906,66
8539,1220,825,65
8559,1266,928,67
8578,1302,1034,68
8593,1328,953,66
8609,1350,1006,68
8477,1152,903,58
8407,1021,844,57
8333,893,756,58
8399,1029,937,68
8446,1126,1070,68
8496,1214,1079,68
8534,1274,1095,68
8551,1300,1161,67
8572,1338,1239,68
8578,1323,1066,64
8588,1344,1119,67
8589,1354,1129,67
8599,1360,1088,67
8609,1372,1145,68
8600,1367,1059,66
8597,1367,1000,66
8607,1366,1099,67
8610,1388,1126,68
8621,1399,1071,67
8622,1423,1120,68
8629,1414,963,66
8624,1399,980,66
8623,1400,1012,67
8618,1379,1027,66
8511,1202,935,57
8534,1251,1078,68
8541,1272,972,65
8559,1305,941,67
8578,1325,1059,68
8597,1347,1227,68
8609,1375,1043,66
8618,1386,1162,68
8618,1400,1145,68
8620,1412,1194,68
8615,1395,1254,67
8617,1381,1203,66
8632,1389,1171,68
8630,1389,1080,66
8636,1415,1125,68
8628,1397,1103,66
8501,1161,981,58
8526,1219,1082,67
8546,1256,1088,67
8562,1302,1096,68
8573,1338,1112,68
8585,1359,1128,67
8494,1190,966,57
8527,1252,971,67
8553,1278,1064,67
8568,1297,1042,66
8581,1307,1004,66
8589,1318,1106,67
8603,1333,966,66
8615,1346,993,67
8620,1350,1006,67
8629,1360,1137,68
8628,1370,1122,67
8622,1369,1084,66
8490,1159,1004,58
8521,1228,981,67
8544,1267,1150,68
8572,1292,1152,67
8574,1325,1042,66
8582,1334,1092,67
8599,1357,1158,68
8495,1176,1013,57
8517,1205,884,64
8549,1250,961,67
8568,1290,1017,67
8580,1306,1086,67
8466,1105,1007,58
8512,1193,1185,69
8549,1256,1144,68
8561,1288,1191,67
8450,1092,1018,58
8494,1153,919,65
8525,1230,1041,68
8548,1249,1052,66
8568,1275,1034,66
8454,1084,954,58
8491,1160,1016,67
