x,y,z,q
2097,2365,127,66
2116,2362,123,63
2112,2359,100,61
2029,2361,26,51
1945,2355,4294967250,47
1971,2355,4294967263,59
2021,2352,28,65
2061,2342,80,66
2080,2349,95,64
2096,2353,128,65
2021,2352,45,51
1969,2352,4294967286,52
2008,2348,31,63
1970,2351,4294967279,53
1925,2359,4294967252,53
1970,2359,4294967292,62
1952,2360,4294967274,55
2012,2349,33,65
1953,2341,4294967271,50
1909,2340,4294967233,51
1982,2333,4294967291,64
1959,2337,4294967266,54
1942,2345,4294967242,54
1981,2353,4294967291,63
2025,2349,50,65
2069,2350,101,67
2058,2354,84,60
2006,2356,25,53
2045,2355,73,65
2054,2361,83,62
2074,2364,99,64
2017,2372,44,54
2045,2370,85,65
2066,2371,84,62
2092,2375,113,65
2102,2371,103,62
2110,2364,122,64
2031,2373,48,52
2044,2366,57,61
2042,2364,69,61
2066,2367,101,65
1860,2367,4294967235,33
1941,2359,1,65
1907,2359,4294967262,52
1945,2351,4294967272,59
1972,2347,4294967284,59
2028,2352,45,66
2059,2356,80,65
2072,2362,96,63
2101,2358,127,66
2141,2339,166,67
2146,2341,169,65
2074,2348,90,53
2094,2343,89,62
2089,2350,98,62
2081,2359,105,62
2075,2352,108,62
2100,2357,139,66
2059,2363,99,57
2023,2361,48,55
2062,2349,71,64
2020,2344,26,54
2055,2336,71,65
2089,2341,115,66
2031,2343,51,53
1983,2340,4294967294,52
2040,2329,49,65
2066,2338,80,64
2090,2335,122,66
2106,2335,150,65
2031,2340,71,52
2062,2338,93,64
2110,2329,147,68
2127,2326,158,65
2130,2330,147,63
2143,2322,150,64
2066,2320,63,51
1996,2327,6,51
2048,2336,55,66
2075,2341,86,65
2012,2336,23,52
2059,2336,75,66
2069,2344,96,63
2096,2349,110,64
2058,2350,64,56
2096,2342,102,66
2050,2346,53,55
1992,2344,4294967295,52
2028,2349,23,63
2050,2345,47,62
2071,2348,87,65
2003,2355,28,52
1958,2354,4294967280,52
2009,2347,37,65
1958,2341,4294967278,51
1963,2339,4294967266,56
1909,2340,4294967209,49
1902,2346,4294967201,54
1962,2350,4294967256,63
2014,2338,13,64
2067,2329,72,66
2097,2337,104,65
2099,2345,113,63
2015,2354,36,51
2023,2345,25,59
2075,2340,92,68
2002,2337,13,50
2009,2350,7,59
2032,2579,4294967093,71
2061,2510,4294967179,63
2082,2483,4294967250,65
